scene_idx,n_present,no_interpenetration,stable_rest,ik_reachable,rrt_solvable,accepted,min_signed_distance_m,max_pose_drift_trans_m,max_pose_drift_rot_rad,rrt_seed,elapsed_s,error
482,1,1,1,0,0,0,inf,0.000011,0.000091,482,0.1684,
483,6,1,1,1,1,1,0.018622,0.003629,0.000803,483,0.3752,
484,8,1,1,1,1,1,0.072079,0.003629,0.000539,484,0.4546,
485,5,1,1,1,1,1,0.065399,0.003629,0.000236,485,0.3181,
486,5,1,1,1,0,0,0.113398,0.000011,0.000459,486,5.3174,
487,2,1,1,1,0,0,0.088563,0.000011,0.000098,487,0.2272,
488,8,1,1,1,1,1,0.021714,0.000021,0.000245,488,0.5037,
489,5,1,1,1,1,1,0.044406,0.000013,0.000429,489,0.3457,
490,2,1,1,1,1,1,0.488254,0.003629,0.000163,490,0.2303,
491,7,1,1,1,0,0,0.094187,0.003629,0.000671,491,5.4085,
492,6,1,1,1,1,1,0.042258,0.000014,0.000791,492,0.4198,
493,4,1,1,1,1,1,0.097057,0.003629,0.000163,493,0.2983,
494,3,1,1,1,1,1,0.250222,0.000010,0.000017,494,0.2605,
495,6,1,1,1,0,0,0.065718,0.003629,0.000504,495,5.3698,
496,1,1,1,1,0,0,inf,0.003629,0.000163,496,5.1711,
497,4,1,1,1,0,0,0.173772,0.003629,0.000359,497,5.2812,
498,8,1,1,1,1,1,0.096428,0.000021,0.000236,498,0.4114,
499,2,1,1,1,0,0,0.462123,0.003629,0.000236,499,5.2183,
